Title,Subject Description,SubjectID,Subject,Course Number,Section,CRN,InstructorID,Instructor,MeetingDays,Campus,Instructional Methods
Evltn USAF Air/Spc Pwr ILecture,Aerospace Studies,2,AERO,200,1,40003,440,Luke Preslar,T,Westchester,Classroom Based Course
Evltn USAF Air/Spc Pwr ILecture,Aerospace Studies,2,AERO,200,2,43970,440,Luke Preslar,NA,Westchester,Other
Laboratory IIILab,Aerospace Studies,2,AERO,202,1,40004,440,Luke Preslar,T,Westchester,Classroom Based Course
Air Force Ldrshp Study ILecture,Aerospace Studies,2,AERO,300,1,41240,541,Nathan Chang,T,Westchester,Classroom Based Course
Laboratory VLab,Aerospace Studies,2,AERO,302,1,40274,440,Luke Preslar,T,Westchester,Classroom Based Course
Ntl Sec Afr/Prp Ac Dty ILecture,Aerospace Studies,2,AERO,400,1,40007,541,Nathan Chang,T,Westchester,Classroom Based Course
Laboratory VIILab,Aerospace Studies,2,AERO,402,1,40008,440,Luke Preslar,T,Westchester,Classroom Based Course
SS: AFROTC Extended LabLab,Aerospace Studies,2,AERO,598,1,46275,443,Magaela Bethune,T,Westchester,Classroom Based Course
Intro African American StudiesLecture,African American Studies,3,AFAM,1211,1,41173,447,Malcolm Frierson,TT,Westchester,Classroom Based Course
Intro African American StudiesLecture,African American Studies,3,AFAM,1211,2,41174,243,Garrison Paige,TT,Westchester,Classroom Based Course
Intro African American StudiesLecture,African American Studies,3,AFAM,1211,3,48284,447,Malcolm Frierson,MW,Online,Fully Online Course
Intro African American StudiesLecture,African American Studies,3,AFAM,1211,4,45734,203,Eddie Becton,MW,Westchester,Classroom Based Course
Intro African American StudiesLecture,African American Studies,3,AFAM,1211,7,47195,243,Garrison Paige,TT,Westchester,Classroom Based Course
Intro African American StudiesLecture,African American Studies,3,AFAM,1211,8,48283,363,Kaelyn Sabal-Wilson,MW,Online,Fully Online Course
SS: Race in Cntmpry SocietyLecture,African American Studies,3,AFAM,1998,1,47228,463,Mariko Rooks,TT,Westchester,Classroom Based Course
SS: Race in Cntmpry SocietyLecture,African American Studies,3,AFAM,1998,2,47229,363,Kaelyn Sabal-Wilson,TT,Westchester,Classroom Based Course
SS: Race in Cntmpry SocietyLecture,African American Studies,3,AFAM,1998,3,47198,280,Jalylah Burrell,TT,Westchester,Classroom Based Course
Black Cultural ArtsLecture,African American Studies,3,AFAM,2221,1,41177,203,Eddie Becton,MW,Westchester,Classroom Based Course
Black Cultural ArtsLecture,African American Studies,3,AFAM,2221,2,48730,747,William Washington,TT,Westchester,Classroom Based Course
Gospel Choir ILecture,African American Studies,3,AFAM,2261,1,41178,747,William Washington,NA,Westchester,Other
Gospel Choir IILecture,African American Studies,3,AFAM,2262,1,41179,747,William Washington,NA,Westchester,Other
Gospel Choir IIILecture,African American Studies,3,AFAM,2263,1,41180,747,William Washington,NA,Westchester,Other
Gospel Choir IVLecture,African American Studies,3,AFAM,2264,1,41181,10,Adilifu Nama,NA,Westchester,Other
"Comics, Race, & RepresentationLecture",African American Studies,3,AFAM,2623,1,47463,10,Adilifu Nama,TT,Westchester,Classroom Based Course
American Cinema/Black RepresenLecture,African American Studies,3,AFAM,3623,1,47465,443,Magaela Bethune,T,Westchester,Classroom Based Course
Black Community EngagementLecture,African American Studies,3,AFAM,3643,1,44327,,,TT,Westchester,Classroom Based Course
Social Just Intrnshp/Rsrch ExpLecture,African American Studies,3,AFAM,3800,1,47466,314,Jennifer Williams,NA,Westchester,Other
SS: Black Queer TheoryLecture,African American Studies,3,AFAM,3998,1,48731,280,Jalylah Burrell,MW,Westchester,Classroom Based Course
SS: Black Women PlaywrightsLecture,African American Studies,3,AFAM,3998,2,48732,447,Malcolm Frierson,MW,Westchester,Classroom Based Course
SS: The Harlem Renaissance Lecture,African American Studies,3,AFAM,3998,3,49042,47,Andrew Dilts,TT,Westchester,Classroom Based Course
SS: Critical Race TheoryLecture,African American Studies,3,AFAM,3998,4,49226,473,Marne Campbell,TT,Westchester,Classroom Based Course
"Race, Gender, and the LawLecture",African American Studies,3,AFAM,4241,1,48733,473,Marne Campbell,MW,Westchester,Classroom Based Course
Capstone ProjectLecture,African American Studies,3,AFAM,4641,1,49240,701,Thomas Klein,M,Westchester,Classroom Based Course
History of AnimationLecture,Animation,4,ANIM,100,1,40294,701,Thomas Klein,T,Westchester,Classroom Based Course
Discovering AnimationLecture,Animation,4,ANIM,101,2,46358,488,Matthew Sheehan,F,Westchester,Classroom Based Course
Visual Story DevelopmentLecture,Animation,4,ANIM,210,1,43353,562,Patrice Pinardo,TT,Westchester,Classroom Based Course
Visual Story DevelopmentLecture,Animation,4,ANIM,210,2,48240,570,Pavel Cantu,M,Westchester,Classroom Based Course
Visual Story DevelopmentLecture,Animation,4,ANIM,210,3,48241,488,Matthew Sheehan,T,Westchester,Classroom Based Course
Visual Story DevelopmentLecture,Animation,4,ANIM,210,4,48242,650,Shane Acker,Th,Westchester,Classroom Based Course
Intro to 3D Computer AnimLecture,Animation,4,ANIM,230,1,47528,701,Thomas Klein,Th,Westchester,Classroom Based Course
Intro to Interactive AnimationLecture,Animation,4,ANIM,250,1,46147,562,Patrice Pinardo,TT,Westchester,Classroom Based Course
Intro to Interactive AnimationLecture,Animation,4,ANIM,250,2,46148,,,TT,Westchester,Classroom Based Course
Digital ToolboxLecture,Animation,4,ANIM,260,1,40374,,,MW,Westchester,Classroom Based Course
Digital ToolboxLecture,Animation,4,ANIM,260,2,40299,488,Matthew Sheehan,MW,Westchester,Classroom Based Course
Digital ToolboxLecture,Animation,4,ANIM,260,3,49043,628,Sam Goff,T,Westchester,Classroom Based Course
Animated PerspectivesLecture,Animation,4,ANIM,301,1,42395,344,Jose Garcia Moreno,Th,Westchester,Classroom Based Course
Intermediate StoryboardLecture,Animation,4,ANIM,310,1,40284,234,Eugene Yelchin,W,Westchester,Classroom Based Course
Mechanics of AnimationLecture,Animation,4,ANIM,320,1,48482,352,Joshua Morgan,W,Westchester,Classroom Based Course
Character DesignLecture,Animation,4,ANIM,360,1,46935,650,Shane Acker,Th,Westchester,Classroom Based Course
Adv Interactive AnimationLecture,Animation,4,ANIM,450,1,40416,562,Patrice Pinardo,M,Westchester,Classroom Based Course
Thesis Project/Pre-ProductionLecture,Animation,4,ANIM,495,1,40285,600,Robert Calcagno,T,Westchester,Classroom Based Course
Thesis Project/Pre-ProductionLecture,Animation,4,ANIM,495,2,40847,,,T,Westchester,Classroom Based Course
SS: Animation Color DesignLecture,Animation,4,ANIM,498,1,41986,684,Sydney Bright,M,Westchester,Classroom Based Course
SS: Virtual ProductionLecture,Animation,4,ANIM,498,2,46367,706,Tiffany Yee,W,Westchester,Classroom Based Course
SS: Studio Development SeriesLecture,Animation,4,ANIM,498,3,47529,,,M,Westchester,Classroom Based Course
SS: Advanced 3D Computer AnimLecture,Animation,4,ANIM,498,4,45737,143,Christopher SooHoo,T,Westchester,Classroom Based Course
SS: Digital AnimationLecture,Animation,4,ANIM,498,5,47530,261,Han Day,T,Westchester,Classroom Based Course
Foundation IStudio/Recitation,Art,7,ART,1001,1,47889,192,Dmitry Kemell,TT,Westchester,Classroom Based Course
Foundation IStudio/Recitation,Art,7,ART,1001,2,47890,645,Selwa Sweidan,MW,Westchester,Classroom Based Course
Foundation IIStudio/Recitation,Art,7,ART,1002,1,47892,645,Selwa Sweidan,MW,Westchester,Classroom Based Course
Foundation IIStudio/Recitation,Art,7,ART,1002,2,47893,480,Masaru Suzuki,TT,Westchester,Classroom Based Course
Foundation IIStudio/Recitation,Art,7,ART,1002,3,48635,306,Jenna Bonistalli,TT,Westchester,Classroom Based Course
Foundation IIIStudio/Recitation,Art,7,ART,1003,1,48636,626,Saeri Dobson,MW,Westchester,Classroom Based Course
Foundation IIIStudio/Recitation,Art,7,ART,1003,2,49006,744,William Pupa,TT,Westchester,Classroom Based Course
Freshman Wrkshp in Studio ArtsStudio/Recitation,Art,7,ART,1010,1,47894,744,William Pupa,M,Westchester,Classroom Based Course
Drawing from LifeStudio/Recitation,Art,7,ART,1153,1,47895,722,Tyler Ferreira,MW,Westchester,Classroom Based Course
Drawing from LifeStudio/Recitation,Art,7,ART,1153,2,47896,722,Tyler Ferreira,MW,Westchester,Classroom Based Course
Intro to Drawing & PrintmakingStudio/Recitation,Art,7,ART,1551,1,47898,693,Teresa Lenihan,MW,Westchester,Classroom Based Course
Intro to Drawing & PrintmakingStudio/Recitation,Art,7,ART,1551,2,47899,693,Teresa Lenihan,MW,Westchester,Classroom Based Course
Visual Arts for Elem EducatorStudio/Recitation,Art,7,ART,2250,1,48637,,,F,Westchester,Classroom Based Course
Field Experience in ArtStudio/Recitation,Art,7,ART,2255,1,48638,,,NA,Westchester,Classroom Based Course
Ceramics I: Earth and ArtStudio/Recitation,Art,7,ART,2478,1,47901,559,Paloma Barhaugh-Bordas,TT,Westchester,Classroom Based Course
Ceramics I: Earth and ArtStudio/Recitation,Art,7,ART,2478,2,47902,493,May Roded,TT,Westchester,Classroom Based Course
Introduction to PrintmakingStudio/Recitation,Art,7,ART,2585,1,47903,49,Andrew Kutchera,MW,Westchester,Classroom Based Course
Introduction to PrintmakingStudio/Recitation,Art,7,ART,2585,2,48179,645,Selwa Sweidan,TT,Westchester,Classroom Based Course
Typography IStudio/Recitation,Art,7,ART,2668,1,47904,97,Brian Moss,MW,Westchester,Classroom Based Course
Intro to User Exp DesignStudio/Recitation,Art,7,ART,2764,1,48639,187,Diane Meyer,TT,Westchester,Classroom Based Course
Photography I: DarkroomStudio/Recitation,Art,7,ART,2880,1,48640,375,Kathleen McLaughlin,MW,Westchester,Classroom Based Course
Photography I: DarkroomStudio/Recitation,Art,7,ART,2880,2,48641,375,Kathleen McLaughlin,TT,Westchester,Classroom Based Course
Photography I: DigitalStudio/Recitation,Art,7,ART,2881,1,47906,191,DJ Watson,TT,Westchester,Classroom Based Course
Photography I: DigitalStudio/Recitation,Art,7,ART,2881,2,47907,191,DJ Watson,TT,Westchester,Classroom Based Course
Figure Drawing WorkshopStudio/Recitation,Art,7,ART,3100,1,47912,261,Han Day,F,Westchester,Classroom Based Course
Figure Drawing WorkshopStudio/Recitation,Art,7,ART,3100,2,47913,143,Christopher SooHoo,F,Westchester,Classroom Based Course
Portrait WorkshopStudio/Recitation,Art,7,ART,3101,1,48642,261,Han Day,W,Westchester,Classroom Based Course
Light and Shadow WorkshopStudio/Recitation,Art,7,ART,3104,1,48643,693,Teresa Lenihan,Th,Westchester,Classroom Based Course
Ink and Brush WorkshopStudio/Recitation,Art,7,ART,3107,1,48644,590,Rev. Michael Tang,M,Westchester,Classroom Based Course
ARTsmart Community Svs ProgramStudio/Recitation,Art,7,ART,3205,1,47914,590,Rev. Michael Tang,NA,Westchester,Other
Principles of ColorStudio/Recitation,Art,7,ART,3352,1,47915,53,Ann Le,MW,Westchester,Classroom Based Course
Principles of ColorStudio/Recitation,Art,7,ART,3352,2,47916,53,Ann Le,MW,Westchester,Classroom Based Course
Visual ThinkingStudio/Recitation,Art,7,ART,3550,1,47917,253,Glenn Grishkoff,TT,Westchester,Classroom Based Course
Visual ThinkingStudio/Recitation,Art,7,ART,3550,2,47918,253,Glenn Grishkoff,TT,Westchester,Classroom Based Course
Art and EcologyStudio/Recitation,Art,7,ART,3554,1,47919,458,Margaret White,TT,Westchester,Classroom Based Course
Art and EcologyStudio/Recitation,Art,7,ART,3554,2,47920,526,Molly Corey,TT,Westchester,Classroom Based Course
Silkscreen PrintmakingStudio/Recitation,Art,7,ART,3587,1,47921,291,Jane Brucker,TT,Westchester,Classroom Based Course
Gallery Issues and PracticesStudio/Recitation,Art,7,ART,3594,1,47922,559,Paloma Barhaugh-Bordas,TT,Westchester,Classroom Based Course
Profssnl Practices Fine ArtsStudio/Recitation,Art,7,ART,3597,1,48645,480,Masaru Suzuki,T,Westchester,Classroom Based Course
SS: First ImpressionStudio/Recitation,Art,7,ART,3598,1,47923,132,Christina Webb,MW,Westchester,Classroom Based Course
Design: Concept to FormStudio/Recitation,Art,7,ART,3602,1,47924,49,Andrew Kutchera,MW,Westchester,Classroom Based Course
Experimental TypographyStudio/Recitation,Art,7,ART,3603,1,48646,175,David Russell,MW,Westchester,Classroom Based Course
Visual Communication Design IStudio/Recitation,Art,7,ART,3660,1,47925,192,Dmitry Kemell,MW,Westchester,Classroom Based Course
Design EntrepreneurshipStudio/Recitation,Art,7,ART,3695,1,47929,97,Brian Moss,T,Westchester,Classroom Based Course
Multimedia NarrativesStudio/Recitation,Art,7,ART,3766,1,47931,21,Alex Calle,MW,Westchester,Classroom Based Course
Photography WorkshopStudio/Recitation,Art,7,ART,3889,1,47960,435,Lindsay Lindberg,W,Westchester,Classroom Based Course
SS:Intro to Busnss in the ArtsStudio/Recitation,Art,7,ART,3998,1,47964,132,Christina Webb,T,Westchester,Classroom Based Course
Art Ed Apprchs Socl & Emtl LrnStudio/Recitation,Art,7,ART,4250,1,47937,350,Joshua Caffrey,W,Westchester,Classroom Based Course
Visual Communication Design IIStudio/Recitation,Art,7,ART,4660,1,47939,187,Diane Meyer,MW,Westchester,Classroom Based Course
Visual Communication Design IIStudio/Recitation,Art,7,ART,4660,2,47940,645,Selwa Sweidan,MW,Westchester,Classroom Based Course
Color PhotographyStudio/Recitation,Art,7,ART,4880,1,48647,626,Saeri Dobson,TT,Westchester,Classroom Based Course
Multimedia InternshipStudio/Recitation,Art,7,ART,4994,1,47941,626,Saeri Dobson,NA,Westchester,Other
Adv Studio Studies: InternshipStudio/Recitation,Art,7,ART,4995,1,47942,29,Aliaa El Sandouby,NA,Westchester,Other
Adv Studio Std: Indpt ProjectsStudio/Recitation,Art,7,ART,4995,2,47943,29,Aliaa El Sandouby,NA,Westchester,Other
Art & Society: Ancnt MdtrrnnLecture,Art History,6,ARHS,2000,1,41776,398,Kirstin Noreen,TT,Westchester,Classroom Based Course
Art & Society: Ancnt MdtrrnnLecture,Art History,6,ARHS,2000,2,41777,398,Kirstin Noreen,TT,Westchester,Classroom Based Course
Art & Soc: Erly Xstn-Erly ModLecture,Art History,6,ARHS,2002,1,41778,120,Charles Peterson,TT,Westchester,Classroom Based Course
Art & Soc: Erly Xstn-Erly ModLecture,Art History,6,ARHS,2002,2,41779,120,Charles Peterson,TT,Westchester,Classroom Based Course
Art and Society: Early Christian to Early ModernLecture,Art History,6,ARHS,2002,3,49005,481,Masha Kowell,W,Westchester,Classroom Based Course
Art and Society: Early Christian to Early ModernLecture,Art History,6,ARHS,2002,4,49040,481,Masha Kowell,W,Westchester,Classroom Based Course
ModernismLecture,Art History,6,ARHS,2004,1,46028,156,Damon Willick,MW,Westchester,Classroom Based Course
ModernismLecture,Art History,6,ARHS,2004,2,46029,156,Damon Willick,MW,Westchester,Classroom Based Course
ModernismLecture,Art History,6,ARHS,2004,3,42512,84,Beth Rosenblum,MW,Westchester,Classroom Based Course
ModernismLecture,Art History,6,ARHS,2004,4,42778,499,Melody Rodari,MW,Westchester,Classroom Based Course
Latin American ArtLecture,Art History,6,ARHS,3321,1,48632,499,Melody Rodari,TT,Westchester,Classroom Based Course
Arts of Asia: Highlts & TreasLecture,Art History,6,ARHS,3351,1,46766,,,TT,Westchester,Classroom Based Course
Arts of Asia: Highlts & TreasLecture,Art History,6,ARHS,3351,2,46767,,,TT,Westchester,Classroom Based Course
History of DesignLecture,Art History,6,ARHS,3560,SA1,49152,266,Heidi Fessler,NA,"London, England",Classroom Based Course
SS: Egyptian Art & ArchaeologyLecture,Art History,6,ARHS,4198,1,48998,120,Charles Peterson,MW,Westchester,Classroom Based Course
SS: Archaeology of the LevantLecture,Art History,6,ARHS,4198,2,48999,120,Charles Peterson,TT,Westchester,Classroom Based Course
Baroque ArtLecture,Art History,6,ARHS,4260,1,44175,156,Damon Willick,M,Westchester,Classroom Based Course
Baroque ArtLecture,Art History,6,ARHS,4260,2,44176,156,Damon Willick,M,Westchester,Classroom Based Course
Contemporary ArtLecture,Art History,6,ARHS,4630,1,41788,,,MW,Westchester,Classroom Based Course
Contemporary ArtLecture,Art History,6,ARHS,4630,2,42313,,,MW,Westchester,Classroom Based Course
Contemporary ArtLecture,Art History,6,ARHS,4630,3,47522,156,Damon Willick,Th,Westchester,Classroom Based Course
Contemporary ArtLecture,Art History,6,ARHS,4630,4,47523,327,Johannes Stahl,Th,Westchester,Classroom Based Course
Museum/Gallery InternshipLecture,Art History,6,ARHS,4710,1,41789,499,Melody Rodari,NA,Westchester,Other
Making/Use of Space - Art/ArchLecture,Art History,6,ARHS,4756,SA1,49141,,,NA,"Bonn, Germany",Classroom Based Course
Hst of Msms: Curs to Jrssc TecLecture,Art History,6,ARHS,4796,1,48633,577,Qianru Li,TT,Westchester,Classroom Based Course
Junior/Senior Seminar in Art HistoryLecture,Art History,6,ARHS,4800,1,48634,577,Qianru Li,T,Westchester,Classroom Based Course
Intro Asian/Pac Amer StudiesLecture,Asian Pacific American Studies,5,APAM,1117,3,48304,207,Edward Park,TT,Westchester,Classroom Based Course
Intro Asian/Pac Amer StudiesLecture,Asian Pacific American Studies,5,APAM,1117,4,48305,543,Neelanjana Banerjee,TT,Westchester,Classroom Based Course
Introduction to Asian Pacific American Studies,Asian Pacific American Studies,5,APAM,1117,5,48734,543,Neelanjana Banerjee,MW,Westchester,Classroom Based Course
Asian Pacific American LitLecture,Asian Pacific American Studies,5,APAM,2371,1,41681,534,Nadia Kim,MW,Westchester,Classroom Based Course
Asian Pacific American LitLecture,Asian Pacific American Studies,5,APAM,2371,2,47471,534,Nadia Kim,MW,Westchester,Classroom Based Course
Contemporary Issues of Asian Pacific AmericansLecture,Asian Pacific American Studies,5,APAM,2417,1,48735,265,Heangjin Park,TT,Westchester,Classroom Based Course
Contemp Iss Asian/Pac AmericanLecture,Asian Pacific American Studies,5,APAM,2417,2,46999,207,Edward Park,TT,Westchester,Classroom Based Course
"SS: Food in Asia, Asia in FoodLecture",Asian Pacific American Studies,5,APAM,3998,1,47116,152,Curtiss Takada Rooks,TT,Westchester,Classroom Based Course
Immigration and Los AngelesLecture,Asian Pacific American Studies,5,APAM,4350,1,41185,532,My Chau,MW,Westchester,Classroom Based Course
Multiracial Americans ImagintnLecture,Asian Pacific American Studies,5,APAM,4451,1,46524,,,TT,Westchester,Classroom Based Course
SS: As Am Visual Cult & ArtLecture,Asian Pacific American Studies,5,APAM,4998,1,47473,413,Lan Ngo,TT,Westchester,Classroom Based Course
SS: Modern AsiaLecture,Asian and Pacific Studies,8,ASPA,1998,1,44330,413,Lan Ngo,MW,Westchester,Classroom Based Course
Asian CivilizationsLecture,Asian and Pacific Studies,8,ASPA,2100,1,41683,499,Melody Rodari,TT,Westchester,Classroom Based Course
Asian CivilizationsLecture,Asian and Pacific Studies,8,ASPA,2100,2,43120,265,Heangjin Park,TT,Westchester,Classroom Based Course
Arts of AsiaLecture,Asian and Pacific Studies,8,ASPA,3300,1,46930,715,TOM Plate,TT,Westchester,Classroom Based Course
Econ/Pol Issues Contemp AsiaLecture,Asian and Pacific Studies,8,ASPA,3500,1,41684,765,Zoe Slatoff,TT,Westchester,Classroom Based Course
Introduction to Asian MediaLecture,Asian and Pacific Studies,8,ASPA,3600,1,48736,251,Gladys Mac,MW,Westchester,Classroom Based Course
BuddhismLecture,Asian and Pacific Studies,8,ASPA,3800,1,47613,251,Gladys Mac,MW,Westchester,Classroom Based Course
Popular Culture in East AsiaLecture,Asian and Pacific Studies,8,ASPA,3970,1,41190,715,TOM Plate,MWF,Westchester,Classroom Based Course
Popular Culture in East AsiaLecture,Asian and Pacific Studies,8,ASPA,3970,2,43644,265,Heangjin Park,MWF,Westchester,Classroom Based Course
China Look US/US Look ChinaLecture,Asian and Pacific Studies,8,ASPA,3990,1,48737,342,Jordan Christopher,MW,Westchester,Classroom Based Course
"SS: Food in Asia, Asia in FoodLecture",Asian and Pacific Studies,8,ASPA,3998,1,41198,532,My Chau,TT,Westchester,Classroom Based Course
SS: Axial AgeLecture,Asian and Pacific Studies,8,ASPA,3998,2,43121,,,MW,Westchester,Classroom Based Course
Asian MythologyLecture,Asian and Pacific Studies,8,ASPA,4870,1,44332,705,Thuy Le,TT,Westchester,Classroom Based Course
SS: Modern ChinaLecture,Asian and Pacific Studies,8,ASPA,4998,4,49245,546,Nicholas Brown,MW,Westchester,Classroom Based Course
BCLA InternshipsLecture,BCLA Internships,52,ICLA,2100,1,44862,24,Alexander Zambrano,NA,Online,Fully Online Course
Introduction to BioethicsLecture,Bioethics,11,BIOE,1000,1,43457,249,Gianna McMillan,TT,Westchester,Classroom Based Course
Introduction to BioethicsLecture,Bioethics,11,BIOE,1000,3,48880,546,Nicholas Brown,MWF,Westchester,Classroom Based Course
Introduction to BioethicsLecture,Bioethics,11,BIOE,1000,4,48881,310,Jennifer Gumer,TT,Westchester,Classroom Based Course
Introduction to BioethicsLecture,Bioethics,11,BIOE,1000,5,48879,609,Roberto Dell'Oro,TT,Westchester,Classroom Based Course
Advanced Topics SeminarSeminar,Bioethics,11,BIOE,3000,1,48862,698,Thomas Cunningham,W,Westchester,Classroom Based Course
Introduction to BioethicsLecture,Bioethics,11,BIOE,6000,1,48863,461,Maria Vasquez,T,Westchester,Classroom Based Course
Clinical BioethicsLecture,Bioethics,11,BIOE,6400,1,48864,461,Maria Vasquez,NA,Westchester,Other
General Biology ILecture,Biology,12,BIOL,101,1,40061,738,Wendy Binder,MWF,Westchester,Classroom Based Course
General Biology ILecture,Biology,12,BIOL,101,2,40276,492,Maxellende Ezin,MWF,Westchester,Classroom Based Course
General Biology ILecture,Biology,12,BIOL,101,3,42357,,,MWF,Westchester,Classroom Based Course
General Biology ILecture,Biology,12,BIOL,101,4,40362,492,Maxellende Ezin,MWF,Westchester,Classroom Based Course
General Biology ILecture,Biology,12,BIOL,101,5,40618,,,MWF,Westchester,Classroom Based Course
General Biology ILecture,Biology,12,BIOL,101,6,41017,182,Demian Willette,MWF,Westchester,Classroom Based Course
General Biology ILecture,Biology,12,BIOL,101,7,45292,182,Demian Willette,MWF,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,1,40063,182,Demian Willette,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,2,40083,690,Tatiana Kuzmenko,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,3,40096,690,Tatiana Kuzmenko,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,4,40102,690,Tatiana Kuzmenko,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,5,40103,634,Sarah Bittick,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,6,40118,634,Sarah Bittick,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,7,40121,634,Sarah Bittick,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,8,40124,634,Sarah Bittick,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,9,40126,634,Sarah Bittick,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,10,40127,634,Sarah Bittick,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,11,40270,,,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,12,40277,,,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,13,40384,,,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,14,40385,365,Kam Dahlquist,M,Westchester,Classroom Based Course
General Biology I LabLab,Biology,12,BIOL,111,15,40390,738,Wendy Binder,M,Westchester,Classroom Based Course
