name,department,rating,count_ratings,difficulty,would_retake
Fr. Joe La Brie,Psychology,3.6,25,2.9,100%
Sandy Kirkner,Psychology,3.3,13,1.7,N/A
Carolyn Almos,Theater,4.5,16,1.5,100%
Elizabeth Murray,Philosophy,2.9,20,3.3,25%
David Mathison,Management,4.1,24,2.3,N/A
Katherine Harper,Art History,3.6,22,4,N/A
Peter Ring,Management,2.6,18,2,N/A
Mel Mendelson,Engineering,2.4,19,2.8,N/A
Barbara Dyer,Music,4.3,16,1.4,40%
Garland Kirkpatrick,Graphic Arts,3.1,13,3.3,N/A
Frank Daroca,Accounting,3.8,24,3.8,N/A
Nazmul Ula,Engineering,2.9,6,3.2,N/A
Jackie Dewar,Mathematics,2.3,14,3.6,N/A
Herbert Medina,Mathematics,4.3,25,3.3,100%
Mark Schwartz,Film,4.6,14,2.5,100%
Steve Duncan,Film,5.0,5,1.8,N/A
John Emerling,Art History,4.6,11,2.7,N/A
Robbie Nakatsu,Information Science,4.3,28,2.5,100%
Michael Mulvihill,Engineering,4.4,11,1.8,0%
Charlotte Radler,Religion,4.5,21,3.1,72%
Leland Swenson,Psychology,4.7,11,2.4,100%
Wojciech Kocyan,Music,4.4,11,3.2,N/A
Phyllis Green,Fine Arts,2.8,8,2.4,N/A
Yvette Lapayese,Education,4.9,16,3.3,N/A
Mike Daniels,Journalism,4.0,6,2.7,N/A
Hassan Hussain,History,3.3,14,2.7,N/A
Jay Busse,Communication Studies,2.6,20,2.2,100%
Demetrios Liappas,Languages,5.0,4,2.3,N/A
Jonas Mureika,Physics,4.4,22,2.9,100%
Fatima Wu,Ethnic Studies,4.2,15,3,N/A
John Beckwith,Business,3.6,22,2.4,67%
Eric Hall,Philosophy,4.0,9,3.9,N/A
Matt Dillon,Classics,4.3,24,2.9,67%
Michelle Hammers,Communication Studies,4.6,24,2,100%
Rebecca Crawford,Chemistry,2.2,18,3.8,0%
John Menaghan,English,2.3,20,3,0%
Shanna Kennedy-Quigley,Art History,4.1,19,3.8,N/A
Marie Claire Costello,Theater,3.3,16,1.2,N/A
Doris Namala,History,4.3,10,2.1,N/A
Amy K. Ross,English,3.2,29,3.1,100%
David Choi,Entrepreneurship,3.6,35,3.3,72%
Raymond Greene,Film,3.1,8,2,N/A
Laurel Ollstein,Theater,4.6,10,1.9,N/A
Matt Kursar,Mathematics,4.6,21,1.5,N/A
Ayanna Yonemura,Urban Studies,2.1,14,2.2,34%
Erika Camacho,Mathematics,2.3,34,4.3,N/A
Pamela Goldblum,Fine Arts,4.7,10,1.6,100%
Larry Pate,Management,2.2,18,3.4,N/A
Paul Lin,Ethnic Studies,2.7,36,3.9,N/A
Renee Florsheim,Marketing,2.5,13,2.9,0%
Dorian Llywelyn,Religion,4.2,44,3.2,N/A
Dan Weingarten,Theater,3.5,10,2.7,N/A
James Holmes,Theater,4.7,12,1.4,100%
Michelle Lum,Biology,4.3,4,2.3,100%
Jeffrey Davis,Film,4.6,15,1.6,100%
Jeffrey Siker,Religion,4.8,16,2.8,N/A
Martha Masters,Music,4.8,13,1.7,75%
Mario Congreve,Film,3.5,11,2,N/A
Katharine Clemmer,Education,4.7,6,3.7,100%
Roberto Dell'Oro,Theological Studies,4.3,13,3,N/A
Bob Robinson,Philosophy,4.4,11,3,N/A
Jeff Thies,Business,4.0,11,2.7,100%
Cliff Rochlin,Economics,2.1,46,4.4,0%
Natalie Rivetti-Oritiz,Mathematics,4.6,6,1.7,N/A
Kambiz Moghaddam,Dance,2.8,8,2.5,N/A
Richard Perle,Computer Information Systems,3.3,21,3.5,60%
Rachelle Katz,Business Administration,2.0,12,4.2,N/A
Lee Cenquizca,Natural Sciences,2.2,8,4.5,100%
Susan Schaffer,Spanish,2.7,21,3.2,N/A
Ethan Adams,Classics,4.8,25,2.6,N/A
Jonghwa Lee,Communication Studies,3.4,21,3.7,N/A
K. Dahlquist,Biology,2.8,27,3.7,100%
Saba Soomekh,Theology,4.6,43,2.5,N/A
Kwaku Person-Lynn,Urban Studies,1.9,4,2.3,N/A
Jennie Spencer Green,Education,4.1,7,2.1,N/A
Judith Royer,Theater,3.9,8,2.6,N/A
Brant Kline,Business Administration,3.5,7,3,N/A
John Hartmann,Media & Performing Arts,4.6,9,1.3,N/A
Richard Freiman,Film,3.6,8,1.3,N/A
Robert Caro,English,2.5,3,2.7,N/A
David Sanchez,Theology,4.8,51,2.4,100%
Andrew Healy,Economics,4.1,35,3.1,N/A
Laurie Beyer,Education,2.5,3,3.7,N/A
Chris Haddy,Education,3.9,11,3.1,N/A
Paul Desena,Education,4.4,11,2.5,100%
John Huddle,English,4.0,26,3.3,N/A
Darryl Graver,Business Law,4.8,9,1.3,N/A
Reyna V. Cummings,Communication Studies,4.3,6,1.5,N/A
Don Zirpola,Film,3.5,14,2.8,80%
Rebecca Cantor,English,4.1,24,2.5,N/A
Peter Soto,Film,3.7,3,4,N/A
David Ramirez,Health Sciences,4.6,9,3.2,N/A
L Boland,Engineering,3.6,8,2.4,N/A
William Semos,Business Administration,2.6,12,4.5,100%
Thomas Muller,Fine Arts,5.0,8,3.5,100%
John Leaver,Art History,4.4,16,2.6,100%
Victoria Newsom,Communication Studies,3.9,18,2.7,N/A
Michael Datcher,English,4.6,23,1.9,100%
Paige Edley,Communication Studies,2.9,22,2.3,67%
Anja Leigh Russell,English,3.3,15,3.5,N/A
Maria Nazarian,Psychology,4.5,12,2.7,N/A
Yevette Saavedra,Urban Studies,3.1,22,3.6,N/A
Graham Beckel,Theater,5.0,4,2,N/A
Kathy Baur,Animation,3.8,3,2.7,N/A
Janie Steckenrider,Political Science,3.7,33,2.2,100%
Maureen Schaukowitch,Education,3.8,3,2,N/A
Tomo Hattori,English,3.1,15,3.4,N/A
Deanna Drew,English,2.3,19,4.5,N/A
Gabe Griffith,Philosophy,3.8,8,2.5,N/A
Chien Tseng,Mathematics,2.7,28,3.1,N/A
Eli Daughdrill,Film & Television,3.3,17,2.8,N/A
Lawrence Kalbers,Accounting,3.8,12,3.2,N/A
Noel Korten,Art History,0.0,0,0,N/A
Joseph Puterbaugh,English,4.6,11,1.7,100%
Christopher Chapple,Theology,3.3,17,3.4,100%
Jose Hernandez,Dance,0.0,0,0,N/A
Debbie Davis,Education,5.0,2,2,N/A
Slobodan Sijan,Film & Television,5.0,2,2.5,100%
Ken Simmonds,Accounting,2.5,3,1.7,N/A
Rachel Adams,Environmental Science,3.2,9,3.9,100%
Elizabeth Drummond,History,3.7,33,3.7,100%
Sharon Madden,Theater,4.6,9,1.8,100%
Michael Domaguing,Marketing,4.8,2,3.5,N/A
Dana Reemes,Archaeology,4.0,10,2.2,N/A
Rory Natividad,Natural Sciences,0.0,0,0,N/A
Keith Ellison,Natural Sciences,3.0,2,3.5,N/A
David Zinn,Philosophy,2.9,68,3.9,50%
Thomas McDermott,Music,3.8,6,2.5,N/A
Gordon Firemark,Business Law,3.3,14,3.3,N/A
Norman Knoerlein,Film & Television,0.0,0,0,N/A
Teresa Romero,History,5.0,2,3,N/A
Laurence Dumortier,English,3.3,9,1.9,N/A
Jeremy Pal,Civil Engineering,3.9,18,2.7,80%
Bill Sanders,Marketing,5.0,3,2.3,100%
Susan Abelein,Education,5.0,2,2,N/A
Judy Scalin,Dance,4.7,5,1.6,100%
Tekla Kostek,Dance,3.5,8,4.3,N/A
Elaine Walker,Communication Studies,4.6,7,1.6,N/A
Forouzan Faridian,Physics,2.6,7,3,100%
Nicolas Rosenthal,History,4.2,47,2.8,73%
Dan Kennedy,Classics,3.0,2,5,N/A
Margaret Trenchard-Smith,History,4.5,22,2.6,N/A
Tania Maync,History,4.5,43,3.2,100%
Orie Prince,Women's Studies,0.0,0,0,N/A
Cynthia Prescott,American Studies,0.0,0,0,N/A
Guillo Della Rocca,Mathematics,2.6,22,3.1,N/A
Francisco Ramos,Education,2.8,11,2.7,25%
Phil Pannell,Education,4.5,2,3,N/A
Timothy Braun,Education,0.0,0,0,N/A
Wenshu Lee,Communication Studies,3.7,5,1.8,N/A
Christine Cain,Education,4.2,5,3.6,N/A
Carolyn Brooks,Education,1.8,3,2,N/A
Karen Hawkins,Education,4.5,2,3,N/A
Karen Huchting,Education,4.9,5,2.8,N/A
Maryam Maryami,Women's Studies,0.0,0,0,N/A
Tammy Pao,Computer Science,2.6,4,2.3,N/A
Michael Petitti,English,4.1,19,2.3,N/A
Saeri Cho,Art,3.1,7,3.3,100%
Michael Stock,English,4.4,4,1.8,N/A
Michelle Anderson,Psychology,2.6,19,3.6,N/A
Dalia Muller,History,3.9,7,2.3,N/A
John Parrish,Political Science,3.6,15,3.3,N/A
Mark Gordon,Sociology,3.0,10,2.5,N/A
Jay Douglas,Film,2.9,6,3.8,N/A
Adam Fingerhut,Psychology,4.5,53,3.5,89%
Daniel Speak,Philosophy,4.1,40,3.7,86%
Kelley Falconer,Philosophy,3.8,23,3.6,N/A
Deke Simon,Film & Television,4.4,10,2.3,100%
Eugenia Sileoni,Spanish,4.4,6,1.8,N/A
Thomas D'Amico,Philosophy,3.1,9,2.6,N/A
Nicole Woods,Art History,4.7,11,3.9,N/A
Nenad (Neno) Pervan,Theater,4.9,13,2.6,100%
Andrea O. Fuller,Theater,5.0,8,1.9,100%
Thomas Cappelli,Philosophy,4.4,20,3.3,N/A
Linda Hasunuma,Political Science,4.8,11,3,N/A
Jennifer Pate,Economics,4.9,48,2.9,100%
Anna Sarrano,Education,2.5,4,2.5,N/A
Vernita Burrell,English,4.6,9,2.2,N/A
Patrick Scott,Film & Television,4.6,18,3.3,84%
Henry Garcia,Studio Art,0.0,0,0,N/A
Barbara Christie,Natural Sciences,4.3,6,1.7,N/A
Dina Parker,Education,0.0,0,0,N/A
Shannon Nason,Philosophy,4.0,24,2.7,N/A
Robert Stephan,History,4.3,4,2.3,N/A
Denise Leitner,Dance,2.5,1,1,N/A
Deborah Harris,English,4.7,12,2.4,N/A
Shawki El Zatmah,History,3.0,8,1.9,N/A
Victor Carmona,Biology,4.5,18,2.8,100%
Evan Woods,Economics,0.0,0,0,N/A
Phil Wander,Communication Studies,3.8,2,2,N/A
Grant Garinger,Theater,4.3,6,1.7,N/A
Thomas Whaling,Philosophy,4.5,4,3,N/A
Joshua Blander,Philosophy,3.1,14,3.2,N/A
Pepper Glass,Sociology,2.7,7,3.1,N/A
Dung Tran,Communication Studies,3.6,14,3.2,N/A
Tim Burns,Philosophy,4.3,20,2.6,100%
Chin Tin Senz,Mathematics,0.0,0,0,N/A
Simon Karmarker,Management,2.5,2,2.5,N/A
Thomas Mueller,Art & Art History,4.3,3,4.3,N/A
Helen Alatorre,Education,3.0,2,2.5,N/A
Maria Valenzuela,American Studies,3.9,23,2,N/A
Jason Jenkins,English,4.8,23,2,N/A
Joanna Burgarino,English,4.4,8,2.5,N/A
Raul Ramirez,Management,0.0,0,0,N/A
Amy Willard,Communication Studies,3.4,6,2.8,100%
Julia Lee,English,4.4,17,2.8,100%
Shawki El-Zatmah,History,4.1,10,1.5,N/A
Steve Chrissanthos,History,4.1,16,3.4,N/A
Amy Alward,Accounting,2.6,28,3.7,N/A
Diane Fiello,Education,2.5,2,3,N/A
Maura Captain,Education,4.0,8,1.3,N/A
David Byrne,History,4.3,20,2.1,N/A
Cassie Cain,Mathematics,1.9,15,4,N/A
Erica Steakley,English,4.7,18,2,100%
Warren Wright,Mathematics,2.5,2,3.5,N/A
Maral Reyes,Education,5.0,2,2,N/A
Boris Fritz,Mechanical Engineering,0.0,0,0,N/A
Tania Fleischer,Music,5.0,2,3.5,100%
Sovathana Sokhom,Economics,1.2,17,4.6,0%
Nara Chea,Economics,2.6,8,3.8,N/A
James Kearney,Film & Television,4.0,1,1,N/A
Jeffrey Lindstrom,Economics,4.4,5,1.6,N/A
Nadine McGuinness,Theological Studies,1.5,5,4.4,N/A
Kevin Trosian,Finance,0.0,0,0,N/A
Arif Karim,Chemistry,4.6,8,2.9,N/A
Seth Kim,Economics,2.0,12,2.9,N/A
Susan Feldman,English,3.1,11,4.5,N/A
Michon Matthieson,Theological Studies,1.7,15,4.9,N/A
Steve Michaud,Business,3.8,2,2.5,N/A
Christine Nangle,Communication Studies,4.2,3,3.7,N/A
David Aikenhead,Finance,0.0,0,0,N/A
Emily Scherberth,Communication Studies,5.0,2,1.5,N/A
Alecia Molezion,Communication Studies,2.5,3,2.7,0%
John Glavan,Communication Studies,2.7,7,1.4,N/A
Clifford Reed,Theater,0.0,0,0,N/A
Molly Corey,Art & Art History,0.0,0,0,N/A
Snack Break Sarah,Biology,0.0,0,0,N/A
James Carroll,Management,4.5,2,1,N/A
Joshua Hayes,Philosophy,4.2,3,3.3,N/A
Craig Rich,Communication Studies,4.5,12,2.5,100%
Gregory Canillas,Psychology,3.0,3,2,N/A
David Matheson,Business,3.8,2,2.5,N/A
George Saraf,Economics,4.3,9,2.9,100%
Lori Klein,Education,0.0,0,0,N/A
Jongmae Park,Theology,4.8,6,2.5,N/A
Jon Mochizuki,American Studies,4.5,8,2.5,100%
Ruth Lane,English,4.9,5,2.8,N/A
Ross Mann,English,4.4,5,1.4,N/A
Alexandra Neel,English,3.3,8,3.1,50%
Katherine Rhodes,English,4.4,9,2.9,N/A
Lizy Moromisato,Languages,3.1,6,2.7,N/A
Ernesto Colin,Liberal Studies,0.0,0,0,N/A
Lynell George,English,2.5,2,2.5,N/A
Maggie Catalfamo,English,0.0,0,0,N/A
Daniel Bonilla,Natural Sciences,4.5,11,2.7,N/A
Cassandra Veney,Political Science,3.3,23,4.1,N/A
Derek Von Barandy,Philosophy,4.1,26,2.7,N/A
Emek Kose Can,Mathematics,4.4,6,2.5,N/A
Ramona Wright,Communication Studies,1.8,2,2,N/A
Sonja Kemp,Business,4.9,3,2.3,100%
Jane Yamashiro,American Studies,2.5,26,2,N/A
Victor Polanco,American Studies,2.2,3,4.3,N/A
JW Huddle,English,0.0,0,0,N/A
Grant Zamudio,Women's Studies,5.0,1,1,N/A
Donna Laws,Natural Sciences,0.0,0,0,N/A
Stephane Muller,French,4.5,1,2,N/A
Dexter Blackman,History,2.8,36,3.9,100%
Marc Reeves,Theology,3.4,13,3,0%
Kathleen Foy,Philosophy,2.5,2,1,N/A
Patrick Doyle,Psychology,3.3,2,2,N/A
John Compton,Political Science,5.0,1,4,N/A
Sang-Hyun Lee,Economics,0.0,0,0,N/A
Anna Serrano,Education,2.0,1,4,N/A
Jane Yamashiro,Sociology,2.7,3,3.3,N/A
Lorne Platt,Urban Studies,3.5,2,2,N/A
James Roe,Chemistry,1.5,2,4.5,N/A
Lee Feldman,Business Law,3.6,4,3,N/A
Erika Thomas,Communication Studies,0.0,0,0,N/A
Sarpphaitoon Suppaleuk,Economics,2.0,1,3,N/A
Heather Graham,Art & Art History,0.0,0,0,N/A
Jean Murachanian,Art & Art History,1.5,1,4,N/A
Cythina Bond,Theology,3.3,13,2,N/A
Mona Seymour,Urban Studies,2.7,15,3.3,0%
Thuy Vo Dang,American Studies,1.8,10,4.4,N/A
Elizabeth Dively-Lauro,Theological Studies,4.0,4,2,N/A
Jennifer Hsieh,Biology,2.0,5,4.8,N/A
Misha Tadd,Theological Studies,3.0,5,2.8,N/A
Evan Somers,Film & Television,0.0,0,0,N/A
Kristin Devitt,English,5.0,1,2,N/A
Laura Diaz,English,4.0,3,3,N/A
Lauren Redwine,English,0.0,0,0,N/A
Nicole Morris,English,3.3,3,3.3,N/A
David Lerner,Film & Television,4.4,10,3.1,N/A
Anton Smith,American Studies,2.8,16,4,N/A
Susie Woo,American Studies,5.0,3,2,N/A
Erika Perez,American Studies,4.2,5,4,N/A
Vicente Cassano,Biology,4.0,18,1.8,100%
Elaine Goodfriend,Theology,3.1,5,3.6,N/A
Thomas Leach,Film & Television,5.0,2,1,N/A
Brett Grisham,Film & Television,5.0,1,1,N/A
Shelley Luce,Environmental Science,5.0,1,3,N/A
Amanda Herring,Art & Art History,3.5,18,3.7,43%
Brandon Seto,History,4.3,26,3.3,100%
Suzie Abajian,Mathematics,4.8,4,2.3,N/A
Ivy Cargile,Political Science,4.3,5,3.2,N/A
Linda Yellin,Sociology,3.3,6,2.3,N/A
Courtney Spikes,History,4.2,9,3,50%
Karol Hoeffner,Film & Television,5.0,1,3,N/A
Rachel Petrocelli,History,4.2,18,4.1,86%
Don Schroeder,Film & Television,5.0,3,1,N/A
Dorian Llwelyn,Theological Studies,3.5,2,3.5,N/A
Leiger Biederman,Art & Art History,5.0,1,2,N/A
Rosalie Siemon,Philosophy,4.2,9,2.4,N/A
Robert Cross,History,4.8,8,2.9,N/A
John Strickland,History,2.6,4,3,N/A
Henry Nguyen,Theological Studies,3.4,4,1.8,N/A
David Sheridan,History,3.2,9,3.6,N/A
Iliana Delarkin,Communication Studies,4.3,16,3.2,92%
Megan Azzi,Education,5.0,1,3,N/A
Timothy Helton,Theology,3.5,13,2.9,N/A
Karla Colorado,Education,5.0,1,1,N/A
Candace Pointdexter,Education,5.0,1,1,N/A
Cecilia Martinez-Gil,English,4.1,11,2.3,N/A
Andrew Lac,Psychology,4.4,17,3.2,N/A
Kevin Griffin,Biology,1.8,4,4.8,N/A
Tom Sharp,Education,5.0,2,2.5,100%
Mia McIver,English,3.8,6,2.8,N/A
Mathes Mennell,Education,0.0,0,0,N/A
Monica Osborne,English,5.0,2,1.5,N/A
Terri Anderson,Sociology,3.6,8,3,N/A
Catherine Skibo,Chemistry,1.5,2,5,N/A
Yvette Mylett,English,4.7,8,3.6,100%
Hillary Hintzen,English,4.2,8,2.9,N/A
Rebecca Pazdral,Not Specified,4.0,1,3,N/A
Thomas Ramsey,Accounting,1.9,26,3.7,0%
Joseph Pak,Philosophy,2.7,3,3.7,N/A
James Kintz,Philosophy,3.8,7,2.7,N/A
Sun Hee Yoon,History,3.7,27,3.6,34%
"William ""bill"" Welcher",Education,4.5,1,1,N/A
Rozy Vig,Mathematics,2.5,3,4,N/A
James Bany,Not Specified,3.4,17,3.4,N/A
Candice Nicolas,French,3.7,3,3,N/A
Lucia Singer,Communication Studies,1.7,3,3.7,N/A
Heather Hoffman,English,4.8,6,2.3,N/A
Angela Gallegos,Mathematics,3.1,13,3.6,50%
Paul Reinsch,Film & Television,2.9,5,3.8,N/A
Christiano Manfre,Economics,2.5,15,3.4,100%
Janna Goebel,English,4.7,3,3,N/A
Nicholas Denysenko,Theology,3.7,4,3,50%
Susie McDaniel,Communication Studies,4.9,17,1.8,100%
Robert Buerkle,Film & Television,0.0,0,0,N/A
Corinna Silva Da Veiga Jardim,German,4.8,2,2.5,N/A
Kaci Cooper,English,4.5,2,2.5,N/A
Todd Otanicar,Mechanical Engineering,1.0,1,5,N/A
Milka Broukhim,Studio Art,4.8,2,4,N/A
Julie Cohen,History,4.0,3,1.7,N/A
Andrew Rohm,Business,5.0,4,3.3,100%
Junyi Liu,Asian Pacific American Studies,4.8,2,2,N/A
Karen Beavers,Film & Television,4.0,1,3,N/A
Casey Shoop,English,4.1,4,2.8,N/A
Yael Lipschutz,Art & Art History,0.0,0,0,N/A
Gabrielle Shulman,English,3.3,3,2.7,N/A
Donald Dilliplane,English,4.6,6,2,N/A
Kenneth Ellsworth,English,0.0,0,0,N/A
Siel JU,English,0.0,0,0,N/A
Zenadia Ramos,Mathematics,2.3,6,3.2,N/A
Benjamin Christensen,American Studies,1.0,1,4,N/A
Laura Rectenwald,English,4.7,5,1.6,N/A
Albertus Laksana,Theological Studies,3.0,2,2,N/A
Steve Sherwood,Sociology,3.4,5,3.8,N/A
Lana Spraker,Theater,3.5,1,2,N/A
Matthew Werber,Physics,2.0,8,4,N/A
Marlene Rodrigues,French,0.0,0,0,N/A
Jael Reboh,Philosophy,0.0,0,0,N/A
Jesse Mills,Political Science,4.5,5,2.8,N/A
Yan Yan Yang,Economics,1.2,5,3.6,N/A
Diana Reichenbach,Art & Art History,0.0,0,0,N/A
Evelyn McDonnell,English,3.5,8,3.4,40%
Bryce Mason,Finance,0.0,0,0,N/A
Jay Oliva,Animation,0.0,0,0,N/A
Sean D''Evelyn,Economics,4.4,19,3.2,100%
Paul Keller,Theological Studies,4.5,3,3.3,N/A
Charles Tang,Engineering,4.5,2,2,N/A
Rosalind Lewis,Engineering,4.5,1,2,N/A
